AGYTYPT,AGYSUB,AGYT,AGYSUBT
Large Independent Agencies (1000 or more employees),FD00,FEDERAL DEPOSIT INSURANCE CORPORATION,FEDERAL DEPOSIT INSURANCE CORPORATION
Large Independent Agencies (1000 or more employees),FQ01,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,OFFICE OF THE DIRECTOR
Large Independent Agencies (1000 or more employees),FQ02,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,PRETRIAL SERVICES AGENCY
Large Independent Agencies (1000 or more employees),FRFT,FEDERAL RESERVE SYSTEM,BUREAU OF CONSUMER FINANCIAL PROTECTION
Large Independent Agencies (1000 or more employees),FT00,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION
Large Independent Agencies (1000 or more employees),GS01,GENERAL SERVICES ADMINISTRATION,IMMEDIATE OFFICE OF THE ADMINISTRATOR
Large Independent Agencies (1000 or more employees),GS02,GENERAL SERVICES ADMINISTRATION,OFFICE OF ADMINISTRATIVE SERVICES
Large Independent Agencies (1000 or more employees),GS03,GENERAL SERVICES ADMINISTRATION,PUBLIC BUILDINGS SERVICE
Large Independent Agencies (1000 or more employees),GS04,GENERAL SERVICES ADMINISTRATION,OFFICE OF CIVIL RIGHTS
Large Independent Agencies (1000 or more employees),GS10,GENERAL SERVICES ADMINISTRATION,OFFICE OF SMALL BUSINESS UTILIZATION
Large Independent Agencies (1000 or more employees),GS11,GENERAL SERVICES ADMINISTRATION,OFFICE OF THE CHIEF FINANCIAL OFFICER
Large Independent Agencies (1000 or more employees),GS12,GENERAL SERVICES ADMINISTRATION,OFFICE OF GENERAL COUNSEL
Large Independent Agencies (1000 or more employees),GS13,GENERAL SERVICES ADMINISTRATION,CIVILIAN BOARD OF CONTRACT APPEALS
Large Independent Agencies (1000 or more employees),GS14,GENERAL SERVICES ADMINISTRATION,OFFICE OF THE HUMAN RESOURCES MANAGEMENT
Large Independent Agencies (1000 or more employees),GS15,GENERAL SERVICES ADMINISTRATION,OFFICE OF INSPECTOR GENERAL
Large Independent Agencies (1000 or more employees),GS20,GENERAL SERVICES ADMINISTRATION,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS
Large Independent Agencies (1000 or more employees),GS22,GENERAL SERVICES ADMINISTRATION,OFFICES OF THE REGIONAL ADMINISTRATORS
Large Independent Agencies (1000 or more employees),GS26,GENERAL SERVICES ADMINISTRATION,OFFICE OF GOVERNMENTWIDE POLICY
Large Independent Agencies (1000 or more employees),GS28,GENERAL SERVICES ADMINISTRATION,OFFICE OF GSA IT
Large Independent Agencies (1000 or more employees),GS30,GENERAL SERVICES ADMINISTRATION,FEDERAL ACQUISITION SERVICE
Large Independent Agencies (1000 or more employees),GS31,GENERAL SERVICES ADMINISTRATION,OFFICE OF MISSION ASSURANCE
Large Independent Agencies (1000 or more employees),GS32,GENERAL SERVICES ADMINISTRATION,OFFICE OF STRATEGIC COMMUNICATION
Large Independent Agencies (1000 or more employees),GS33,GENERAL SERVICES ADMINISTRATION,OFFICE OF THE CUSTOMER EXPERIENCE
Large Independent Agencies (1000 or more employees),IB00,U.S. AGENCY FOR GLOBAL MEDIA,U.S. AGENCY FOR GLOBAL MEDIA
Large Independent Agencies (1000 or more employees),LP00,GOVERNMENT PRINTING OFFICE,GOVERNMENT PRINTING OFFICE
Large Independent Agencies (1000 or more employees),NF00,NATIONAL SCIENCE FOUNDATION,NATIONAL SCIENCE FOUNDATION
Large Independent Agencies (1000 or more employees),NL00,NATIONAL LABOR RELATIONS BOARD,NATIONAL LABOR RELATIONS BOARD
Large Independent Agencies (1000 or more employees),NN10,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,"HEADQUARTERS, NASA"
Large Independent Agencies (1000 or more employees),NN21,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,AMES RESEARCH CENTER
Large Independent Agencies (1000 or more employees),NN22,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,JOHN GLENN RESEARCH CENTER AT LEWIS FIELD
Large Independent Agencies (1000 or more employees),NN23,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,LANGLEY RESEARCH CENTER
Large Independent Agencies (1000 or more employees),NN24,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NEIL A. ARMSTRONG FLIGHT RESEARCH CENTER
Large Independent Agencies (1000 or more employees),NN51,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GODDARD SPACE FLIGHT CENTER
Large Independent Agencies (1000 or more employees),NN62,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GEORGE C. MARSHALL SPACE FLIGHT CENTER
Large Independent Agencies (1000 or more employees),NN64,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,JOHN C. STENNIS SPACE CENTER
Large Independent Agencies (1000 or more employees),NN72,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,LYNDON B. JOHNSON SPACE CENTER
Large Independent Agencies (1000 or more employees),NN76,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,JOHN F. KENNEDY SPACE CENTER
Large Independent Agencies (1000 or more employees),NQ00,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION
Large Independent Agencies (1000 or more employees),NU00,NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION
Large Independent Agencies (1000 or more employees),OM00,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT
Large Independent Agencies (1000 or more employees),SB00,SMALL BUSINESS ADMINISTRATION,SMALL BUSINESS ADMINISTRATION
Large Independent Agencies (1000 or more employees),SE00,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION
Large Independent Agencies (1000 or more employees),SM01,SMITHSONIAN INSTITUTION,NATIONAL GALLERY OF ART
Large Independent Agencies (1000 or more employees),SM02,SMITHSONIAN INSTITUTION,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS
Large Independent Agencies (1000 or more employees),SM03,SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES)
Large Independent Agencies (1000 or more employees),SM04,SMITHSONIAN INSTITUTION,JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS
Large Independent Agencies (1000 or more employees),SZ00,SOCIAL SECURITY ADMINISTRATION,SOCIAL SECURITY ADMINISTRATION
Medium Independent Agencies (100-999 employees),AH01,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL ENDOWMENT FOR THE ARTS
Medium Independent Agencies (100-999 employees),AH02,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,NATIONAL ENDOWMENT FOR THE HUMANITIES
Medium Independent Agencies (100-999 employees),AH03,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,INSTITUTE OF MUSEUM AND LIBRARY SERVICES
Medium Independent Agencies (100-999 employees),AU00,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY
Medium Independent Agencies (100-999 employees),BD00,MERIT SYSTEMS PROTECTION BOARD,MERIT SYSTEMS PROTECTION BOARD
Medium Independent Agencies (100-999 employees),BF00,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,DEFENSE NUCLEAR FACILITIES SAFETY BOARD
Medium Independent Agencies (100-999 employees),BG00,PENSION BENEFIT GUARANTY CORPORATION,PENSION BENEFIT GUARANTY CORPORATION
Medium Independent Agencies (100-999 employees),BO00,OFFICE OF MANAGEMENT AND BUDGET,OFFICE OF MANAGEMENT AND BUDGET
Medium Independent Agencies (100-999 employees),CT00,COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION
Medium Independent Agencies (100-999 employees),EB00,EXPORT-IMPORT BANK OF THE UNITED STATES,EXPORT-IMPORT BANK OF THE UNITED STATES
Medium Independent Agencies (100-999 employees),EC00,OFFICE OF ADMINISTRATION,OFFICE OF ADMINISTRATION
Medium Independent Agencies (100-999 employees),FL00,FARM CREDIT ADMINISTRATION,FARM CREDIT ADMINISTRATION
Medium Independent Agencies (100-999 employees),FM00,FEDERAL MEDIATION AND CONCILIATION SERVICE,FEDERAL MEDIATION AND CONCILIATION SERVICE
Medium Independent Agencies (100-999 employees),FW00,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL
Medium Independent Agencies (100-999 employees),GB00,DEVELOPMENT FINANCE CORPORATION,DEVELOPMENT FINANCE CORPORATION
Medium Independent Agencies (100-999 employees),GJ00,PRESIDIO TRUST,PRESIDIO TRUST
Medium Independent Agencies (100-999 employees),GW00,"INTERNATIONAL BOUNDARY AND WATER COMMISSION, U.S. SECTION","INTERNATIONAL BOUNDARY AND WATER COMMISSION, U.S. SECTION"
Medium Independent Agencies (100-999 employees),HD00,U.S. HOLOCAUST MEMORIAL MUSEUM,U.S. HOLOCAUST MEMORIAL MUSEUM
Medium Independent Agencies (100-999 employees),HFHA,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY
Medium Independent Agencies (100-999 employees),HFHI,FEDERAL HOUSING FINANCE AGENCY,OFFICE OF INSPECTOR GENERAL
Medium Independent Agencies (100-999 employees),JL03,JUDICIAL BRANCH,U.S. TAX COURT
Medium Independent Agencies (100-999 employees),KS00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE
Medium Independent Agencies (100-999 employees),LF00,FEDERAL ELECTION COMMISSION,FEDERAL ELECTION COMMISSION
Medium Independent Agencies (100-999 employees),MC00,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION
Medium Independent Agencies (100-999 employees),MI00,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION
Medium Independent Agencies (100-999 employees),PU00,PEACE CORPS,PEACE CORPS
Medium Independent Agencies (100-999 employees),RF00,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD
Medium Independent Agencies (100-999 employees),RH00,ARMED FORCES RETIREMENT HOME,ARMED FORCES RETIREMENT HOME
Medium Independent Agencies (100-999 employees),RR00,RAILROAD RETIREMENT BOARD,RAILROAD RETIREMENT BOARD
Medium Independent Agencies (100-999 employees),SK00,CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION
Medium Independent Agencies (100-999 employees),SS00,SELECTIVE SERVICE SYSTEM,SELECTIVE SERVICE SYSTEM
Medium Independent Agencies (100-999 employees),TB00,NATIONAL TRANSPORTATION SAFETY BOARD,NATIONAL TRANSPORTATION SAFETY BOARD
Medium Independent Agencies (100-999 employees),TC00,U.S. INTERNATIONAL TRADE COMMISSION,U.S. INTERNATIONAL TRADE COMMISSION
Medium Independent Agencies (100-999 employees),TN00,OFFICE OF THE U.S. TRADE REPRESENTATIVE,OFFICE OF THE U.S. TRADE REPRESENTATIVE
Medium Independent Agencies (100-999 employees),TW00,SURFACE TRANSPORTATION BOARD,SURFACE TRANSPORTATION BOARD
Small Independent Agencies (less than 100 employees),AA00,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES
Small Independent Agencies (less than 100 employees),AB00,AMERICAN BATTLE MONUMENTS COMMISSION,AMERICAN BATTLE MONUMENTS COMMISSION
Small Independent Agencies (less than 100 employees),AN00,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION
Small Independent Agencies (less than 100 employees),AP00,APPALACHIAN REGIONAL COMMISSION,APPALACHIAN REGIONAL COMMISSION
Small Independent Agencies (less than 100 employees),AW00,ARCTIC RESEARCH COMMISSION,ARCTIC RESEARCH COMMISSION
Small Independent Agencies (less than 100 employees),BH00,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD
Small Independent Agencies (less than 100 employees),BK00,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION
Small Independent Agencies (less than 100 employees),BT00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD
Small Independent Agencies (less than 100 employees),BW00,NUCLEAR WASTE TECHNICAL REVIEW BOARD,NUCLEAR WASTE TECHNICAL REVIEW BOARD
Small Independent Agencies (less than 100 employees),CC00,COMMISSION ON CIVIL RIGHTS,COMMISSION ON CIVIL RIGHTS
Small Independent Agencies (less than 100 employees),CE00,COUNCIL OF ECONOMIC ADVISERS,COUNCIL OF ECONOMIC ADVISERS
Small Independent Agencies (less than 100 employees),CF00,COMMISSION OF FINE ARTS,COMMISSION OF FINE ARTS
Small Independent Agencies (less than 100 employees),CX00,NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE
Small Independent Agencies (less than 100 employees),DA00,DELTA REGIONAL AUTHORITY,DELTA REGIONAL AUTHORITY
Small Independent Agencies (less than 100 employees),DB00,PUBLIC INTEREST DECLASSIFICATION BOARD,PUBLIC INTEREST DECLASSIFICATION BOARD
Small Independent Agencies (less than 100 employees),DG00,NORTHERN BORDER REGIONAL COMMISSION,NORTHERN BORDER REGIONAL COMMISSION
Small Independent Agencies (less than 100 employees),DO00,OFFICE OF THE CYBER DIRECTOR,OFFICE OF THE CYBER DIRECTOR
Small Independent Agencies (less than 100 employees),DQ00,DENALI COMMISSION,DENALI COMMISSION
Small Independent Agencies (less than 100 employees),EO00,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION
Small Independent Agencies (less than 100 employees),EQ00,COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY
Small Independent Agencies (less than 100 employees),EW00,TRADE AND DEVELOPMENT AGENCY,TRADE AND DEVELOPMENT AGENCY
Small Independent Agencies (less than 100 employees),FI00,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL
Small Independent Agencies (less than 100 employees),FJ00,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD
Small Independent Agencies (less than 100 employees),FK00,FARM CREDIT SYSTEM INSURANCE CORPORATION,FARM CREDIT SYSTEM INSURANCE CORPORATION
Small Independent Agencies (less than 100 employees),GC00,GULF COAST ECOSYSTEM RESTORATION COUNCIL,GULF COAST ECOSYSTEM RESTORATION COUNCIL
Small Independent Agencies (less than 100 employees),GE00,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION
Small Independent Agencies (less than 100 employees),GG00,OFFICE OF GOVERNMENT ETHICS,OFFICE OF GOVERNMENT ETHICS
Small Independent Agencies (less than 100 employees),GQ00,ELECTION ASSISTANCE COMMISSION,ELECTION ASSISTANCE COMMISSION
Small Independent Agencies (less than 100 employees),GU00,THE US SEMIQUINCENTENNIAL COMMISSION,THE US SEMIQUINCENTENNIAL COMMISSION
Small Independent Agencies (less than 100 employees),GX00,INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA
Small Independent Agencies (less than 100 employees),GY00,INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA
Small Independent Agencies (less than 100 employees),HB01,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SE VERELY DISABLED,OFFICE OF THE COMMITTEE FOR PURCHASE FROM PEOPLE WHO A RE BLIND OR SEVERELY DISABLED
Small Independent Agencies (less than 100 employees),HB02,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SE VERELY DISABLED,OFFICE OF INSPECTOR GENERAL
Small Independent Agencies (less than 100 employees),HP00,ADVISORY COUNCIL ON HISTORIC PRESERVATION,ADVISORY COUNCIL ON HISTORIC PRESERVATION
Small Independent Agencies (less than 100 employees),HT00,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION
Small Independent Agencies (less than 100 employees),HW00,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS
Small Independent Agencies (less than 100 employees),IF00,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION
Small Independent Agencies (less than 100 employees),IG00,COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY
Small Independent Agencies (less than 100 employees),IP00,INTELLECTUAL PROPERTY ENFORCEMENT COORDINATOR,INTELLECTUAL PROPERTY ENFORCEMENT COORDINATOR
Small Independent Agencies (less than 100 employees),KY00,PUBLIC BUILDINGS REFORM BOARD,PUBLIC BUILDINGS REFORM BOARD
Small Independent Agencies (less than 100 employees),MA00,MARINE MAMMAL COMMISSION,MARINE MAMMAL COMMISSION
Small Independent Agencies (less than 100 employees),NK00,NATIONAL COUNCIL ON DISABILITY,NATIONAL COUNCIL ON DISABILITY
Small Independent Agencies (less than 100 employees),NM00,NATIONAL MEDIATION BOARD,NATIONAL MEDIATION BOARD
Small Independent Agencies (less than 100 employees),NP00,NATIONAL CAPITAL PLANNING COMMISSION,NATIONAL CAPITAL PLANNING COMMISSION
Small Independent Agencies (less than 100 employees),NS00,NATIONAL SECURITY COUNCIL,NATIONAL SECURITY COUNCIL
Small Independent Agencies (less than 100 employees),OP00,Office of Pandemic Preparedness and Response Policy,Office of Pandemic Preparedness and Response Policy
Small Independent Agencies (less than 100 employees),OS00,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
Small Independent Agencies (less than 100 employees),QQ00,OFFICE OF NATIONAL DRUG CONTROL POLICY,OFFICE OF NATIONAL DRUG CONTROL POLICY
Small Independent Agencies (less than 100 employees),RE00,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION
Small Independent Agencies (less than 100 employees),RJ00,CIVIL RIGHTS COLD CASE REVIEW BOARD (CRCCRB),CIVIL RIGHTS COLD CASE REVIEW BOARD (CRCCRB)
Small Independent Agencies (less than 100 employees),RO00,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION
Small Independent Agencies (less than 100 employees),RS00,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION
Small Independent Agencies (less than 100 employees),TS00,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,OFFICE OF SCIENCE AND TECHNOLOGY POLICY
Small Independent Agencies (less than 100 employees),UJ00,JAPAN-UNITED STATES FRIENDSHIP COMMISSION,JAPAN-UNITED STATES FRIENDSHIP COMMISSION
Small Independent Agencies (less than 100 employees),UT00,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION
Small Independent Agencies (less than 100 employees),VD00,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD
Small Independent Agencies (less than 100 employees),WK00,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL
Small Independent Agencies (less than 100 employees),WU00,SOUTHWEST BORDER REGIONAL COMMISSION,SOUTHWEST BORDER REGIONAL COMMISSION
Small Independent Agencies (less than 100 employees),WX00,WORLD WAR 1 CENTENNIAL COMMISSION,WORLD WAR 1 CENTENNIAL COMMISSION
Small Independent Agencies (less than 100 employees),ZP00,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM
Small Independent Agencies (less than 100 employees),ZS00,UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION