Category,Department/Agency/Subagency,Competitive employee count,Excepted employee count,SES employee count,Unknown employee count
Subagency,GS30 - FEDERAL ACQUISITION SERVICE,3211,98,15,0
Subagency,GS31 - OFFICE OF MISSION ASSURANCE,81,1,1,0
Subagency,GS32 - OFFICE OF STRATEGIC COMMUNICATION,56,2,1,0
Subagency,GU00 - THE US SEMIQUINCENTENNIAL COMMISSION,0,8,0,0
Subagency,"GW00 - INTERNATIONAL BOUNDARY AND WATER COMMISSION, U.S. SECTION",241,9,0,0
Subagency,GX00 - INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,5,2,0,0
Subagency,GY00 - INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,11,5,0,0
Subagency,HB01 - OFFICE OF THE COMMITTEE FOR PURCHASE FROM PEOPLE WHO A RE BLIND OR SEVERELY DISABLED,20,5,1,0
Subagency,HB02 - OFFICE OF INSPECTOR GENERAL,1,7,0,0
Subagency,HD00 - U.S. HOLOCAUST MEMORIAL MUSEUM,91,3,0,0
Subagency,HE10 - OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,1721,703,119,42
Subagency,HE11 - PROGRAM SUPPORT CENTER,246,16,3,11
Subagency,HE12 - ADMINISTRATION FOR COMMUNITY LIVING,83,22,10,4
Subagency,HE13 - OFFICE OF INSPECTOR GENERAL,1230,85,22,5
Subagency,HE31 - OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,0,0,0,1
Subagency,HE32 - SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,482,52,7,3
Subagency,HE33 - AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,75,22,4,1
Subagency,HE34 - HEALTH RESOURCES AND SERVICES ADMINISTRATION,1606,64,21,22
Subagency,HE35 - AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,116,13,0,0
Subagency,HE36 - FOOD AND DRUG ADMINISTRATION,13718,2707,27,14
Subagency,HE37 - INDIAN HEALTH SERVICE,10182,2327,28,169
Subagency,HE38 - NATIONAL INSTITUTES OF HEALTH,12465,4395,43,0
Subagency,HE39 - CENTERS FOR DISEASE CONTROL AND PREVENTION,8338,1101,25,5
Subagency,HE50 - OFFICE OF MEDICARE HEARINGS AND APPEALS,297,218,2,2
Subagency,HE60 - ADMINISTRATION FOR STRATEGIC PREPAREDNESS AND RESPONSE,617,3972,17,8
Subagency,HE70 - CENTERS FOR MEDICARE & MEDICAID SERVICES,5227,183,75,35
Subagency,HE90 - ADMINISTRATION FOR CHILDREN AND FAMILIES,1424,76,23,17
Subagency,HFHA - FEDERAL HOUSING FINANCE AGENCY,473,42,0,0
Subagency,HFHI - OFFICE OF INSPECTOR GENERAL,81,18,0,0
Subagency,HP00 - ADVISORY COUNCIL ON HISTORIC PRESERVATION,0,34,1,0
Subagency,HSAA - DHS HEADQUARTERS,2994,1128,111,0
Subagency,HSAB - CITIZENSHIP AND IMMIGRATION SERVICES,19207,631,58,0
Subagency,HSAC - U.S. COAST GUARD,8286,575,20,1
Subagency,HSAD - U.S. SECRET SERVICE,5939,2231,48,0
Subagency,HSAE - OFFICE OF THE INSPECTOR GENERAL,622,41,17,0
Subagency,HSBB - IMMIGRATION AND CUSTOMS ENFORCEMENT,27114,3253,94,0
Subagency,HSBC - TRANSPORTATION SECURITY ADMINISTRATION,0,62607,0,0
Subagency,HSBD - CUSTOMS AND BORDER PROTECTION,65547,1785,130,0
Subagency,HSBE - FEDERAL LAW ENFORCEMENT TRAINING CENTERS,1139,250,10,0
Subagency,HSCA - CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,2088,203,25,1
Subagency,HSCB - FEDERAL EMERGENCY MANAGEMENT AGENCY,3886,17748,62,0
Subagency,HSDA - DOMESTIC NUCLEAR DETECTION OFFICE,136,6,3,0
Subagency,HSFA - SCIENCE AND TECHNOLOGY DIRECTORATE,368,25,11,0
Subagency,HT00 - HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,2,1,0
Subagency,HU** - ,242,49,20,0
Subagency,HUAA - OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,404,24,5,0
Subagency,HUBB - OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,1236,49,11,0
Subagency,HUCC - OFFICE OF GENERAL COUNSEL,1809,169,13,0
Subagency,HUDD - ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,372,59,8,0
Subagency,HUEE - ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,478,7,6,0
Subagency,HUFF - OFFICE OF THE CHIEF FINANCIAL OFFICER,277,5,4,0
Subagency,HUGG - OFFICE OF INSPECTOR GENERAL,511,39,8,0
Subagency,HUII - OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION,43,7,0,0
Subagency,HUJJ - ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,36,7,4,0
Subagency,HUKK - OFFICE OF FIELD POLICY AND MANAGEMENT,61,0,0,0
Subagency,HULL - OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,20,1,0,0
Subagency,HUMM - ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER,14,0,0,0
Subagency,HUTT - GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE),0,1,0,0
Subagency,HW00 - U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,10,0,0
Subagency,IB00 - U.S. AGENCY FOR GLOBAL MEDIA,718,86,10,0
Subagency,IF00 - INTER-AMERICAN FOUNDATION,21,3,0,0
Subagency,IG00 - COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,7,17,1,0
Subagency,IN01 - OFFICE OF THE SECRETARY OF THE INTERIOR,6241,414,62,0
Subagency,IN05 - BUREAU OF LAND MANAGEMENT,7267,208,18,0
Subagency,IN06 - INDIAN AFFAIRS,2766,369,16,0
Subagency,IN07 - BUREAU OF RECLAMATION,3501,119,6,0
Subagency,IN08 - GEOLOGICAL SURVEY,5568,410,5,0
Subagency,IN10 - NATIONAL PARK SERVICE,13636,665,18,0
Subagency,IN15 - U.S. FISH AND WILDLIFE SERVICE,6267,219,15,0
Subagency,IN21 - OFFICE OF THE SOLICITOR,77,318,22,0
Subagency,"IN22 - OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",219,1,3,0
Subagency,IN24 - OFFICE OF THE INSPECTOR GENERAL,205,19,9,0
Subagency,IN26 - BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,534,3,2,0
Subagency,IN27 - BUREAU OF OCEAN ENERGY MANAGEMENT,458,3,5,0
Subagency,IN28 - BUREAU OF INDIAN EDUCATION,404,2404,10,0
Subagency,IN29 - BUREAU OF TRUST FUNDS ADMINISTRATION,278,9,4,0
Subagency,JL03 - U.S. TAX COURT,0,167,0,0
Subagency,KS00 - CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,5,402,0,0
Subagency,KY00 - PUBLIC BUILDINGS REFORM BOARD,0,7,0,0
Subagency,LF00 - FEDERAL ELECTION COMMISSION,2,247,0,0
Subagency,LP00 - GOVERNMENT PUBLISHING OFFICE,1534,86,0,0
Subagency,MA00 - MARINE MAMMAL COMMISSION,10,14,0,0
Subagency,MC00 - FEDERAL MARITIME COMMISSION,71,30,6,0
Subagency,MI00 - MILLENNIUM CHALLENGE CORPORATION,185,47,0,0
Subagency,NF00 - NATIONAL SCIENCE FOUNDATION,654,441,58,0
Subagency,NK00 - NATIONAL COUNCIL ON DISABILITY,6,12,0,0
Subagency,NL00 - NATIONAL LABOR RELATIONS BOARD,522,496,52,0
Subagency,NM00 - NATIONAL MEDIATION BOARD,24,10,1,0
Subagency,"NN10 - HEADQUARTERS, NASA",1362,92,122,0
Subagency,NN21 - AMES RESEARCH CENTER,958,41,14,0
Subagency,NN22 - JOHN GLENN RESEARCH CENTER AT LEWIS FIELD,1100,23,15,0
Subagency,NN23 - LANGLEY RESEARCH CENTER,1277,38,16,0
Subagency,NN24 - NEIL A. ARMSTRONG FLIGHT RESEARCH CENTER,387,8,7,0
Subagency,NN51 - GODDARD SPACE FLIGHT CENTER,2012,22,24,0
Subagency,NN62 - GEORGE C. MARSHALL SPACE FLIGHT CENTER,1789,59,32,0
Subagency,NN64 - JOHN C. STENNIS SPACE CENTER,184,10,6,0
Subagency,NN72 - LYNDON B. JOHNSON SPACE CENTER,2512,83,48,0
Subagency,NN76 - JOHN F. KENNEDY SPACE CENTER,1594,49,30,0
Subagency,NP00 - NATIONAL CAPITAL PLANNING COMMISSION,25,3,1,0
Subagency,NQ00 - NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2339,53,16,0
Subagency,NS00 - NATIONAL SECURITY COUNCIL,0,27,0,0
Subagency,NU00 - NUCLEAR REGULATORY COMMISSION,0,2431,78,0
Subagency,NV11 - IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS,1692,245,27,0
Subagency,"NV12 - DIRECTORATE FOR ADMINISTRATIONS, LOGISTICS, AND OPERATIONS (DALO)",2199,2527,60,0
Subagency,NV14 - OFFICE OF NAVAL RESEARCH,2532,85,25,0
Subagency,NV15 - NAVAL INTELLIGENCE ACTIVITY,0,1464,0,0
Subagency,NV18 - NAVAL MEDICAL COMMAND,1793,62,1,0
Subagency,NV19 - NAVAL AIR SYSTEMS COMMAND,26680,146,31,0
Subagency,NV22 - BUREAU OF NAVAL PERSONNEL,2657,1208,1,0
Subagency,NV23 - NAVAL SUPPLY SYSTEMS COMMAND,6019,181,4,0
Subagency,NV24 - NAVAL SEA SYSTEMS COMMAND,33242,268,43,0
Subagency,NV25 - NAVAL FACILITIES ENGINEERING COMMAND,15486,176,7,0
Subagency,NV27 - U.S. MARINE CORPS,14650,1802,19,0
Subagency,NV30 - STRATEGIC SYSTEMS PROGRAMS (SSP),1652,31,8,0
Subagency,"NV39 - COMMANDER, NAVAL INFORMATION WARFARE SYSTEMS COMMAND (NAVWARSYSCOM)",9545,68,13,0
Subagency,NV41 - NAVY SYSTEMS MANAGEMENT ACTIVITY,2,1207,3,0
Subagency,"NV52 - COMMANDER, NAVY INSTALLATIONS COMMAND",10442,385,5,0
Subagency,NV60 - UNITED STATES FLEET FORCES COMMAND,25311,7880,18,0
Subagency,"NV70 - U.S. PACIFIC FLEET, COMMANDER IN CHIEF",24905,169,7,0
Subagency,NV72 - NAVY RESERVE FORCE,344,49,0,0
Subagency,NV74 - NAVAL SPECIAL WARFARE COMMAND,1061,50,0,0
Subagency,NV76 - NAVAL EDUCATION AND TRAINING COMMAND,3660,69,0,0
Subagency,OM00 - OFFICE OF PERSONNEL MANAGEMENT,1846,97,53,0
Subagency,OS00 - OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,17,23,3,0
Subagency,PU00 - PEACE CORPS,0,666,0,0
Subagency,QQ00 - OFFICE OF NATIONAL DRUG CONTROL POLICY,24,23,9,0
Subagency,RF00 - FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,203,25,10,0
Subagency,RH00 - ARMED FORCES RETIREMENT HOME,270,8,1,0
Subagency,RJ00 - CIVIL RIGHTS COLD CASE REVIEW BOARD (CRCCRB),0,10,0,0
Subagency,RO00 - MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,0,50,0,0
Subagency,RR00 - RAILROAD RETIREMENT BOARD,674,16,9,0
Subagency,RS00 - FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,22,24,1,0
Subagency,SB00 - SMALL BUSINESS ADMINISTRATION,3322,2056,40,0
Subagency,SE00 - SECURITIES AND EXCHANGE COMMISSION,2220,1758,0,0
Subagency,SK00 - CONSUMER PRODUCT SAFETY COMMISSION,383,40,15,0
Subagency,SM01 - NATIONAL GALLERY OF ART,593,20,0,0
Subagency,SM03 - SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES),3348,108,0,0
Subagency,SM04 - JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,50,1,0,0
Subagency,SS00 - SELECTIVE SERVICE SYSTEM,95,47,1,0
Subagency,ST00 - DEPARTMENT OF STATE,9725,1677,184,0
Subagency,SZ00 - SOCIAL SECURITY ADMINISTRATION,46702,3094,84,0
Subagency,TB00 - NATIONAL TRANSPORTATION SAFETY BOARD,366,25,17,0
Subagency,TC00 - U.S. INTERNATIONAL TRADE COMMISSION,262,128,11,0
Subagency,TD01 - OFFICE OF THE SECRETARY OF TRANSPORTATION,1323,131,74,0
Subagency,TD03 - FEDERAL AVIATION ADMINISTRATION,0,44648,0,0
Subagency,TD04 - FEDERAL HIGHWAY ADMINISTRATION,1913,75,41,0
Subagency,TD05 - FEDERAL RAILROAD ADMINISTRATION,923,44,15,0
Subagency,TD06 - GREAT LAKES SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,106,7,3,0
Subagency,TD09 - FEDERAL TRANSIT ADMINISTRATION,462,29,19,0
Subagency,TD10 - NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,502,35,17,0
Subagency,TD12 - OFFICE OF INSPECTOR GENERAL,305,11,7,0
Subagency,TD13 - MARITIME ADMINISTRATION,550,169,13,0
Subagency,TD16 - PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,511,41,6,0
Subagency,TD17 - FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,968,47,14,0
Subagency,TN00 - OFFICE OF THE U.S. TRADE REPRESENTATIVE,137,64,20,0
Subagency,TR40 - ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,392,27,8,0
Subagency,TR91 - DEPARTMENTAL OFFICES,2101,570,128,0
Subagency,TR93 - INTERNAL REVENUE SERVICE,72410,1722,182,0
Subagency,TR95 - OFFICE OF INSPECTOR GENERAL,150,2,3,0
Subagency,TRAD - U.S. MINT,1262,27,6,0
Subagency,TRAF - FINANCIAL CRIMES ENFORCEMENT NETWORK,211,13,6,0
Subagency,TRAI - BUREAU OF ENGRAVING AND PRINTING,1539,44,7,0
Subagency,TRAJ - OFFICE OF THE COMPTROLLER OF THE CURRENCY,742,1935,0,0
Subagency,TRFD - BUREAU OF THE FISCAL SERVICE,1986,47,21,0
Subagency,TRTG - OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,622,16,10,0
Subagency,TS00 - OFFICE OF SCIENCE AND TECHNOLOGY POLICY,8,16,1,0
Subagency,TW00 - SURFACE TRANSPORTATION BOARD,55,52,4,0
Subagency,UJ00 - JAPAN-UNITED STATES FRIENDSHIP COMMISSION,3,8,1,0
Subagency,UT00 - UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,0,11,0,0
Subagency,VAAA - OFFICE OF THE SECRETARY,836,69,34,0
Subagency,VAAD - BOARD OF VETERANS APPEALS,174,1126,3,0
Subagency,VAAE - GENERAL COUNSEL,204,451,8,0
Subagency,VAAF - INSPECTOR GENERAL,918,36,18,0
Subagency,VAAI - ELECTRONIC HEALTH RECORD MODERNIZATION,156,6,0,0
Subagency,VAAJ - OFFICE OF ACCOUNTABILITY AND WHISTLEBLOWER PROTECTION,101,10,1,0
Subagency,VABA - IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR HUMAN RESOURCES AND ADMINISTRATION,31,5,4,0
Subagency,VABC - CHIEF HUMAN CAPITAL OFFICER,200,16,2,0
Subagency,VABE - DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION,39,7,2,0
Subagency,VABG - DEPUTY ASSISTANT SECRETARY FOR CORPORATE SENIOR EXECUTIVE MANAGEMENT,22,0,1,0
Subagency,VABH - DEPUTY ASSISTANT SECRETARY FOR LABOR MANAGEMENT RELATIONS,8,0,1,0
Subagency,VABK - OFFICE OF ENTERPRISE OPERATIONS,18,0,1,0
Subagency,VADA - IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR MANAGEMENT,166,4,6,0
Subagency,VADC - DEPUTY ASSISTANT SECRETARY FOR BUDGET,28,0,3,0
Subagency,VADD - DEPUTY ASSISTANT SECRETARY FOR FINANCE,1380,104,5,0
Subagency,VADE - DEPUTY ASSISTANT SECRETARY FOR FMBTS,9,0,0,0
Subagency,"VADG - EXECUTIVE DIRECTOR, OFFICE OF ACQUISITION AND LOGISTICS",980,35,4,0
Subagency,VAEA - IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,2,0,6,0
Subagency,VAEB - DEPUTY ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,6893,32,15,0
Subagency,"VAGA - IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR OPERATIONS, SECURITY, AND PREPAREDNESS",31,1,5,0
Subagency,VAGB - EXECUTIVE DIRECTOR FOR SECURITY AND LAW ENFORCEMENT,190,14,1,0
Subagency,VAGC - DEP ASST SEC FOR EMERGENCY MGT & RESILIENCE,6,1,2,0
Subagency,"VAGD - EXECUTIVE DIRECTOR FOR IDENTITY, CREDENTIAL, AND ACCESSMANAGEMENT",20,1,0,0
Subagency,VAHG - VET CUSTOMER EXPER (VCE),226,8,4,0
Subagency,VAJA - OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AND INTERGOVERNMENTAL AFFAIRS,21,5,3,0
Subagency,VAJB - DEPUTY ASSISTANCE SECRETARY FOR INTERGOVERNMENTAL AFFAIRS,7,0,2,0
Subagency,VAJC - DEPUTY ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,25,0,0,1
Subagency,VAKA - IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR CONGRESSIONAL AND LEGISLATIVE AFFAIRS,3,6,3,0
Subagency,VAKB - DEPUTY ASSISTANT SECRETARY FOR CONGRESSIONAL AFFAIRS,36,3,0,0
Subagency,VALA - VETERANS BENEFITS ADMINISTRATION,29144,1117,47,2
Subagency,VAPA - NATIONAL CEMETERY ADMINISTRATION,2017,78,13,0
Subagency,VATA - VETERANS HEALTH ADMINISTRATION,100854,300191,146,8
Subagency,VD00 - PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,0,28,0,0
Subagency,WK00 - FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,13,5,1,0
Subagency,WU00 - SOUTHWEST BORDER REGIONAL COMMISSION,0,1,0,0
Subagency,ZP00 - U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM,0,24,0,0
Subagency,ZS00 - UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION,0,28,0,0